Wall time,Step,Value
1701785176.800075,657000,-134.87185668945312
1701785180.5300772,658000,-134.87185668945312
1701785184.5210786,659000,-134.87185668945312
1701785188.5260766,660000,-134.87185668945312
1701785192.3380778,661000,-134.87185668945312
1701785196.0370758,662000,-134.87185668945312
1701785199.8420775,663000,-134.87185668945312
1701785203.756077,664000,-134.87185668945312
1701785207.8710783,665000,-134.87185668945312
1701785216.8840766,666000,-87.33601379394531
1701785220.9560773,667000,-87.33601379394531
1701785224.9750764,668000,-87.33601379394531
1701785228.866079,669000,-87.33601379394531
1701785232.877075,670000,-87.33601379394531
1701785236.733077,671000,-87.33601379394531
1701785240.8780766,672000,-87.33601379394531
1701785244.9020765,673000,-87.33601379394531
1701785249.740076,674000,-87.33601379394531
1701785253.819079,675000,-87.33601379394531
1701785262.8580787,676000,-188.63775634765625
1701785266.5690746,677000,-188.63775634765625
1701785270.4320774,678000,-188.63775634765625
1701785274.142076,679000,-188.63775634765625
1701785278.0950766,680000,-188.63775634765625
